Регион;%Revenue;%Absolute Margin;%Num of check;%Num of goods;%Num of unique clients;Num of check;Num of goods;Num of unique clients
Центральный ф.о.;89.94127171537713;88.03297142026571;9778;404936;48384;93.00865594977647;89.32792722042558;91.36641740312712
Уральский ф.о.;87.73358800319347;85.52331688130948;2915;21881;4320;93.60950545921645;86.92940288427158;90.31988291867029
Северо-Западный ф.о.;86.47220013338827;84.09898995626584;3229;37113;7132;92.97437374028218;86.66402017560246;88.25640391040713
Приволжский ф.о.;93.02883302191869;91.82624414572236;4697;72039;12218;95.3125;92.01675842072322;94.66181142015961
Южный ф.о.;87.26810027066377;86.57731007085756;3343;28897;5268;90.74375678610205;82.43802242318775;88.88139024801754
Сибирский ф.о.;84.04704494718247;80.98839385530883;2839;26737;4187;90.50047816385081;85.841333033679;88.7452310300975
Дальневосточный ф.о.;87.73467925483874;91.44650703632894;974;8936;469;85.43859649122807;85.25090631558862;90.71566731141199
Восточно-Сибирский ф.о.;80.3619160283404;71.16087948022891;392;1231;200;86.34361233480176;84.19972640218877;82.64462809917356
Крымский ф.о.;99.72427672590418;98.90121528237444;241;581;68;99.58677685950413;99.82817869415808;100.0
Северо-Кавказский ф.о.;100.0;100.0;111;198;42;100.0;100.0;100.0
