Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Москва;60871141;10623047;0.17451696855822038;1727.8866297983084;2540;6148;82143;3;19005;559
Красногорск (Красногорский район);621007;112087;0.1804923293940326;593.0529100529101;3315;189;747;4;171;655
Челябинск;3245241;684387;0.21088942238804453;849.1153846153846;3348;806;3060;3;790;866
Калуга;4797115;1225032;0.2553684871011014;1484.8872727272728;4686;825;2648;3;813;1507
Санкт-Петербург;16216439;2787621;0.1719009333676771;954.011293634497;2964;2922;16294;3;4764;585
Коломна (Московская область район);1820900;417572;0.2293217639628755;977.92037470726;3966;427;1366;3;348;1200
Тула;3529502;743893;0.21076429479286313;855.0494252873564;3314;870;3268;3;838;888
Пенза;1806229;387057;0.21429010385726283;843.2614379084968;3490;459;1326;3;412;939
Волгоград;3264469;741397;0.2271110554273911;1051.62695035461;4013;705;2120;3;670;1107
Клин (Клинский район);1089187;262358;0.24087507471168862;877.4515050167224;3561;299;1008;3;229;1146
Нижний Новгород;8859271;1728380;0.19509280165377038;776.4510332434861;2560;2226;11208;3;2507;689
Омск;3166147;714662;0.22571977864577988;1163.944625407166;4706;614;1736;3;579;1234
Ростов-на-Дону;5111110;1164260;0.227790049519576;1261.3867822318527;4592;923;3226;3;877;1328
Самара;6069505;1092962;0.1800743223706052;665.6285018270402;2571;1642;7228;3;1675;653
Сургут;3079298;733371;0.23816174985337568;1531.0459290187891;5637;479;1435;3;420;1746
Красноярск;1984253;415252;0.20927371660771082;995.8081534772182;4455;417;1605;4;367;1131
Сергиев Посад (Сергиево-Посадский район);1537374;337429;0.21948400324189168;768.630979498861;3147;439;1503;3;347;972
Краснодар;4771884;1022423;0.21425981855384582;1123.5417582417583;4795;910;3650;3;825;1239
Томск;1784562;351497;0.1969654178448269;779.3725055432373;3541;451;1440;3;394;892
Иваново;1336976;311809;0.23321959406900347;1097.9190140845071;4252;284;777;2;284;1098
Павловский;159984;46878;0.293016801680168;2130.818181818182;7272;22;24;1;22;2131
Тольятти;1558553;319899;0.20525384763944504;583.757299270073;2485;548;1751;3;447;716
Подольск (Московская область район);2860230;571408;0.19977694101523305;615.0785791173305;2575;929;4123;4;840;680
Люберцы (Люберецкий район);2523269;371078;0.14706240198726334;425.54816513761466;2475;872;3860;4;618;600
Волжский;760139;150695;0.198246636470435;635.8438818565401;3057;237;706;3;193;781
Саратов;4142072;954433;0.2304240486403906;1129.5065088757397;4069;845;2868;3;804;1187
Киров;1711932;348637;0.20365119642602628;810.7837209302326;3989;430;1211;2;357;977
Набережные Челны;1269215;268398;0.21146771823528718;841.3730407523511;3703;319;984;3;290;926
Дубна (Московская область район);1084771;249773;0.23025412736881792;928.5241635687732;3902;269;754;3;222;1125
Рязань;2933895;607384;0.2070230870566261;801.2981530343008;3247;758;2759;3;720;844
Жуковский;680808;229245;0.33672489159939367;3473.409090909091;8618;66;84;1;78;2939
Курск;1970562;446331;0.22649934384201056;959.8516129032258;3799;465;1380;3;421;1060
Воронеж;4932236;1088097;0.2206092733599933;1027.4759206798867;3972;1059;3562;3;1057;1029
Екатеринбург;5007413;999867;0.1996773583485125;867.9401041666666;3817;1152;4254;3;1195;837
Краснокаменск;288790;58660;0.20312337684822881;761.8181818181819;3840;77;276;3;55;1067
Одинцово (Одинцовский район);138750;31725;0.22864864864864864;834.8684210526316;3804;38;233;6;36;881
Жуковский (Московская область район);2384212;447530;0.18770562349321285;654.2836257309941;2992;684;2823;4;555;806
Дубна;330079;103721;0.3142308356484357;3345.8387096774195;10315;31;34;1;31;3346
Казань;2962032;489934;0.16540469515521777;660.288409703504;3247;742;2512;3;737;665
Внуково (Волоколамский район);150376;24449;0.16258578496568601;470.1730769230769;2883;52;205;4;42;582
Нижневартовск;1311471;322997;0.24628604063681164;1094.9050847457627;4214;295;921;3;245;1318
Йошкар-Ола;832320;159324;0.191421568627451;701.8678414096917;3324;227;618;2;193;826
Нижний;792920;260930;0.3290748120869697;4208.548387096775;12586;62;77;1;60;4349
Старый Оскол;765238;161831;0.2114779976948348;722.4598214285714;3226;224;634;3;194;834
Ногинск;233951;77475;0.33115908886903667;2869.4444444444443;7798;27;33;1;29;2672
Тобольск;576793;125748;0.21801235451886553;879.3566433566433;3941;143;475;3;102;1233
