Группа2;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;14634097;2243116;0.15328011014277138;871.1130097087379;714;2575;28714;2;12161;184
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;3200082;59412;0.018565774252034793;68.21125143513203;1054;871;16123;3;1615;37
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;50834;10556;0.20765629303222252;100.53333333333333;457;105;158;1;84;126
ТЕКСТИЛЬ, ТРИКОТАЖ;44903129;14270501;0.3178063827133294;4244.6463414634145;796;3362;84463;3;20734;688
СОПУТСТВУЮЩИЕ ТОВАРЫ;240839;75953;0.31536835811475716;292.12692307692305;342;260;1161;2;592;128
ПОДГУЗНИКИ;61816906;2121263;0.03431525673575445;973.9499540863177;1505;2178;65776;1;23508;90
ОБУВЬ;12568543;4472073;0.3558147511608943;2942.1532894736843;980;1520;13327;1;7641;585
КРУПНОГАБАРИТНЫЙ ТОВАР;138828258;40449249;0.2913617845727057;9256.121052631579;5542;4370;27250;1;20429;1980
КОСМЕТИКА/ГИГИЕНА;10298208;1600655;0.15543043993673464;1132.806086341118;296;1413;55913;3;12530;128
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;3987533;1199249;0.3007496113511788;550.619375573921;492;2178;19687;3;4833;248
ИГРУШКИ;59177805;10344708;0.174807227135241;1654.623800383877;1065;6252;87675;2;32358;320
ЖЕНСКИЕ ШТУЧКИ;110187;62826;0.5701761550818154;367.4035087719298;152;171;930;2;350;180
ДЕТСКОЕ ПИТАНИЕ;38622047;1974866;0.05113312611317572;772.0351837372948;1051;2558;277345;5;14151;140
