Группа2;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
ТОВАРЫ ДЛЯ КОРМЛЕНИЯ;13332385;2045213;0.15340188570912106;840.9592927631579;736;2432;25473;2;10997;186
ТОВАРЫ ДЛЯ ЖИВОТНЫХ;2997601;57142;0.019062577040773604;67.8646080760095;1087;842;14877;3;1497;38
ТЕХНИКА И ТОВАРЫ ДЛЯ ДОМА;42254;9157;0.2167132105836134;95.38541666666667;417;96;145;1;75;122
ТЕКСТИЛЬ, ТРИКОТАЖ;34521756;11098305;0.32148726733367794;3746.8956785955434;802;2962;65372;3;17060;651
СОПУТСТВУЮЩИЕ ТОВАРЫ;209661;65987;0.3147318766961905;293.27555555555557;382;225;892;2;469;141
ПОДГУЗНИКИ;57750417;1966673;0.03405469782148932;928.990552668871;1524;2117;61078;1;22042;89
ОБУВЬ;8804679;3096718;0.35171276545118796;2463.5783611774064;962;1257;9564;1;5741;539
КРУПНОГАБАРИТНЫЙ ТОВАР;126874662;36945067;0.29119342205617066;8947.703317994672;5562;4129;24813;1;18869;1958
КОСМЕТИКА/ГИГИЕНА;9244370;1436399;0.15538095078409886;1050.7673738112655;303;1367;49784;3;11300;127
КАНЦТОВАРЫ, КНИГИ, ДИСКИ;3413054;1025666;0.30051267867428993;520.6426395939086;508;1970;16198;3;4147;247
ИГРУШКИ;53455672;9414763;0.1761228069492794;1621.5575266965209;1110;5806;75397;2;29309;321
ЖЕНСКИЕ ШТУЧКИ;88253;49027;0.5555278574099464;308.34591194968556;149;159;773;2;285;172
ДЕТСКОЕ ПИТАНИЕ;36450096;1857644;0.050964035869754634;744.5466933867735;1088;2495;258183;5;13181;141
