Регион;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
Центральный ф.о.;203568634;39943407;0.1962159209655059;4085.028328901616;1784;9778;404936;4;48384;826
Уральский ф.о.;19625436;4284477;0.21831244921131943;1469.8034305317324;2476;2915;21881;3;4320;992
Северо-Западный ф.о.;24905404;4627409;0.18579939518347102;1433.0780427376897;1822;3229;37113;3;7132;649
Приволжский ф.о.;48993180;9862932;0.20131234592243247;2099.836491377475;1950;4697;72039;3;12218;807
Южный ф.о.;26360623;5771653;0.21894979492707742;1726.4890816631769;2588;3343;28897;3;5268;1096
Сибирский ф.о.;19627066;3896759;0.19854006706860822;1372.5815427967593;2377;2839;26737;3;4187;931
Дальневосточный ф.о.;2886070;482619;0.1672235947153049;495.50205338809036;1744;974;8936;4;469;1029
Восточно-Сибирский ф.о.;819260;132308;0.16149696067182578;337.5204081632653;2123;392;1231;3;200;662
Крымский ф.о.;274517;37354;0.1360717186913743;154.99585062240664;1958;241;581;4;68;549
Северо-Кавказский ф.о.;124669;28841;0.23134058988200756;259.8288288288288;1252;111;198;4;42;687
