ВремяОкруглДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
00:00:00;2305559;700346;0.30376407630427155;991.9915014164307;2893;706;2573;3;796;880
10:00:00;20699060;6628317;0.3202230922563633;1832.0389718076285;3220;3618;21495;3;6248;1061
15:00:00;26776300;8630085;0.3223031188028219;2073.0446793178;3283;4163;27884;3;7983;1081
02:00:00;12186858;3749324;0.30765304724154496;1360.422351233672;2709;2756;17468;4;4237;885
09:00:00;9317162;3006454;0.3226791591688542;1507.7502507522568;3312;1994;7891;3;2722;1105
13:00:00;20074683;6599307;0.3287377937674035;1898.5348101265822;3419;3476;20873;3;5788;1140
11:00:00;22934145;7463823;0.32544587993142976;1988.7617905675459;3295;3753;23454;3;6806;1097
03:00:00;1211960;389536;0.32140994752302054;954.7450980392157;2786;408;1758;4;432;902
05:00:00;1054723;311563;0.2953979386056813;855.9423076923077;2799;364;1391;3;375;831
06:00:00;1345830;414340;0.3078694931752153;857.8467908902692;2533;483;1579;3;524;791
08:00:00;5638477;1805280;0.3201715640588762;1239.89010989011;3027;1456;5762;3;1815;995
12:00:00;24372413;8061102;0.33074698020257576;2042.33645806942;3480;3947;24632;3;6846;1177
17:00:00;25452711;8301208;0.3261423900974635;2014.367386556661;3330;4121;28301;4;7465;1112
16:00:00;26694537;8662777;0.3245149747305975;2057.6667458432303;3300;4210;28859;3;7922;1094
14:00:00;28490375;9391797;0.32964806535540514;2173.5239527887065;3332;4321;28365;3;8337;1127
18:00:00;23776476;7850070;0.33016120639576696;2051.233342043376;3370;3827;24639;3;6918;1135
19:00:00;25832292;8665579;0.3354552898364574;2129.6581469648563;3351;4069;26910;3;7535;1150
20:00:00;21180571;6830522;0.3224899838630413;1862.1924754634679;3264;3668;22511;3;6351;1076
21:00:00;14570626;4651385;0.3192302787814333;1574.072758037225;3051;2955;15868;3;4680;994
22:00:00;18139057;5853313;0.32269114100032875;1669.5131203650885;2941;3506;22149;3;6008;974
23:00:00;15706539;5151100;0.327958947544077;1612.7426424546024;3024;3194;20329;4;5039;1022
04:00:00;578781;189297;0.32706153104542135;996.3;2954;190;854;4;193;981
07:00:00;2830574;883234;0.31203353100819836;998.0045197740113;2734;885;3002;3;1023;863
01:00:00;2320975;738080;0.31800428699145833;1155.0547730829421;3119;639;2427;3;736;1003
