ВремяОкруглДаты;Revenue;Absolute Margin;Margin;Average Margin;Average Check;# of check;# of goods;Average # of goods in check;# of unique clients;Value of a Client
00:00:00;2257880;683944;0.3029142381348876;982.6781609195402;2894;696;2515;3;783;873
10:00:00;20282588;6483396;0.3196532907930684;1818.6244039270687;3223;3565;21061;3;6141;1056
15:00:00;26357688;8493211;0.32222898305799813;2055.9697409828127;3285;4131;27481;3;7867;1080
02:00:00;11794336;3612210;0.3062664994451574;1334.889135254989;2702;2706;16976;4;4144;872
09:00:00;8958208;2897123;0.32340430139599347;1486.4663930220627;3269;1949;7644;3;2654;1092
13:00:00;19790300;6512552;0.329077982648065;1888.2435488547405;3435;3449;20552;3;5694;1144
11:00:00;22707686;7390403;0.3254582170988272;1988.8059741657696;3314;3716;23124;3;6714;1101
03:00:00;1176034;378021;0.3214371353209176;947.421052631579;2784;399;1689;4;420;900
05:00:00;1009735;292216;0.2893987036202568;849.4651162790698;2840;344;1327;4;357;819
08:00:00;5460026;1759875;0.32231989371479186;1239.3485915492959;3013;1420;5604;3;1768;995
12:00:00;24042354;7944434;0.3304349482583943;2031.8245524296676;3500;3910;24228;3;6719;1182
17:00:00;25034284;8162991;0.32607247724760174;2000.7330882352942;3342;4080;27824;4;7330;1114
16:00:00;26262972;8526165;0.3246458550083364;2051.0380081789754;3309;4157;28306;3;7789;1095
14:00:00;28105850;9281860;0.33024655009544274;2164.1081837258102;3344;4289;27916;3;8210;1131
18:00:00;23424984;7729683;0.3299760204745497;2044.8896825396826;3392;3780;24224;3;6776;1141
19:00:00;25381311;8519124;0.3356455464416318;2117.0785288270376;3360;4024;26333;3;7402;1151
20:00:00;20786735;6702304;0.3224317816145729;1851.9767891682786;3270;3619;22192;3;6238;1074
21:00:00;14360788;4592292;0.3197799452230616;1574.3201919780597;3075;2917;15551;3;4585;1002
22:00:00;17895993;5777500;0.32283763186541253;1664.0264976958526;2947;3472;21883;4;5927;975
23:00:00;15430856;5053113;0.3274680937985553;1607.2242366412213;3031;3144;20063;4;4956;1020
04:00:00;543074;173514;0.31950341942350396;958.6408839779006;2905;181;813;4;185;938
07:00:00;2738979;844808;0.30843902052553157;982.3348837209302;2726;860;2887;3;994;850
06:00:00;1299455;397903;0.30620760241793676;855.7053763440861;2550;465;1506;3;503;791
01:00:00;2297644;729887;0.3176675760039414;1164.0940988835725;3144;627;2393;3;722;1011
